zip,lat,lng
00601,18.18055,-66.74996
00602,18.36194,-67.17560
00603,18.45518,-67.11989
00606,18.15833,-66.93293
00610,18.29403,-67.12716
00612,18.40225,-66.71140
00616,18.42041,-66.67198
00617,18.44754,-66.55768
00622,17.99124,-67.15399
00623,18.08304,-67.15418
00624,18.06491,-66.71666
00627,18.41251,-66.86381
00631,18.19061,-66.83204
00637,18.07672,-66.94736
00638,18.29591,-66.51559
00641,18.26310,-66.71296
00646,18.43511,-66.28106
00647,17.96361,-66.94713
00650,18.34910,-66.57818
00652,18.44844,-66.59411
00653,17.98504,-66.88655
00656,18.05354,-66.79293
00659,18.40677,-66.80929
00660,18.13470,-67.11620
00662,18.46830,-67.01575
00664,18.21033,-66.59162
00667,18.00342,-67.03581
00669,18.27692,-66.86959
00670,18.24019,-66.98878
00674,18.42291,-66.48934
00676,18.37764,-67.07957
00677,18.33257,-67.22702
00678,18.43412,-66.92743
00680,18.18205,-67.13250
00682,18.22146,-67.15604
00683,18.10780,-67.03726
00685,18.33293,-66.95969
00687,18.31802,-66.42039
00688,18.38231,-66.62642
00690,18.49551,-67.09867
00692,18.41019,-66.33656
00693,18.42146,-66.39860
00694,18.48313,-66.39236
00698,18.06485,-66.85632
00703,18.24840,-66.13066
00704,17.96588,-66.21963
00705,18.12896,-66.26669
00707,18.01405,-65.92075
00714,18.00303,-66.04624
00715,18.01123,-66.56006
00716,17.99127,-66.60677
00717,18.00322,-66.61404
00718,18.23199,-65.75962
00719,18.28992,-66.25344
00720,18.21795,-66.42808
00723,18.04350,-66.01548
00725,18.21859,-66.04264
00727,18.21531,-66.07357
00728,17.98985,-66.66412
00729,18.33004,-65.88602
00730,18.03083,-66.61684
00731,18.10995,-66.63562
00735,18.25260,-65.68249
00736,18.10362,-66.15167
00738,18.30446,-65.69871
00739,18.17723,-66.16065
00740,18.33118,-65.63410
00741,18.16386,-65.75404
00745,18.35222,-65.81739
00751,18.00132,-66.25218
00754,18.14711,-65.97617
00757,17.99544,-66.39133
00765,18.13010,-65.43937
00766,18.13320,-66.47666
00767,18.06949,-65.89603
00769,18.10380,-66.35759
00771,18.18715,-65.87119
00772,18.43894,-65.90522
00773,18.34289,-65.72311
00775,18.32661,-65.30777
00777,18.22413,-65.90854
00778,18.26408,-65.97851
00780,18.10283,-66.56811
00782,18.22571,-66.22163
00783,18.30391,-66.32618
00784,18.01071,-66.13362
00786,18.15542,-66.22991
00791,18.13678,-65.82148
00794,18.20002,-66.30928
00795,18.06049,-66.50062
00801,18.34981,-64.97400
00802,18.34063,-64.92318
00820,17.74310,-64.68656
00823,17.72355,-64.74593
00824,17.74456,-64.68293
00830,18.33856,-64.73653
00831,18.32729,-64.78672
00840,17.74787,-64.88070
00841,17.76814,-64.80785
00850,17.70525,-64.75256
00851,17.73223,-64.77076
00901,18.46537,-66.10461
00906,18.46446,-66.09499
00907,18.45255,-66.07784
00909,18.44161,-66.06713
00911,18.45116,-66.05620
00912,18.44533,-66.06014
00913,18.45000,-66.04266
00915,18.43718,-66.04557
00917,18.42067,-66.05011
00918,18.42102,-66.06579
00920,18.41429,-66.08804
00921,18.39229,-66.08853
00923,18.40903,-66.03859
00924,18.39813,-66.01259
00925,18.40030,-66.05060
00926,18.34541,-66.05150
00927,18.38801,-66.07209
00934,18.41131,-66.12423
00936,18.39546,-66.07377
00949,18.43063,-66.21260
00950,18.45970,-66.23310
00951,18.42753,-66.25379
00952,18.42744,-66.18203
00953,18.36073,-66.25153
00956,18.32114,-66.17042
00957,18.36837,-66.18780
00959,18.38578,-66.15565
00960,18.41664,-66.14455
00961,18.41331,-66.16468
00962,18.44461,-66.14882
00965,18.43376,-66.11475
00966,18.40152,-66.11760
00968,18.40609,-66.10123
00969,18.36806,-66.10806
00971,18.31888,-66.11919
00976,18.33618,-65.99410
00979,18.44439,-66.03004
00982,18.41126,-65.99205
00983,18.41612,-65.97544
00985,18.41077,-65.94793
00987,18.33816,-65.94108
01001,42.06237,-72.62575
01002,42.36403,-72.45876
01003,42.38970,-72.52401
01005,42.41888,-72.11208
01007,42.27901,-72.40047
01008,42.19019,-72.95426
01009,42.20967,-72.33974
01010,42.12818,-72.20535
01011,42.29013,-72.96652
01012,42.37542,-72.85819
01013,42.16345,-72.60274
01020,42.17261,-72.56192
01022,42.19774,-72.54271
01026,42.46549,-72.91827
01027,42.29501,-72.75188
01028,42.06238,-72.49811
01029,42.19042,-73.04692
01030,42.07292,-72.68697
01031,42.32938,-72.19816
01032,42.45761,-72.81478
01033,42.24495,-72.50014
01034,42.09391,-72.96110
01035,42.35649,-72.56863
01036,42.07119,-72.41772
01037,42.37604,-72.19736
01038,42.37993,-72.60404
01039,42.40429,-72.68892
01040,42.21166,-72.64245
01050,42.28676,-72.86969
01053,42.35630,-72.71358
01054,42.46890,-72.48458
01056,42.18358,-72.45781
01057,42.09360,-72.32149
01060,42.32125,-72.63039
01062,42.32303,-72.70179
01063,42.31888,-72.63853
01066,42.40691,-72.65502
01068,42.35086,-72.04425
01069,42.18886,-72.30648
01070,42.51845,-72.91902
01071,42.16006,-72.87384
01072,42.45697,-72.41724
01073,42.22695,-72.74159
01074,42.38658,-72.09303
01075,42.25653,-72.58025
01077,42.05257,-72.77735
01079,42.19433,-72.32889
01080,42.18573,-72.36156
01081,42.06131,-72.23441
01082,42.29975,-72.27916
01083,42.20655,-72.19645
01084,42.39237,-72.88223
01085,42.15350,-72.77160
01086,42.13045,-72.79397
01088,42.39171,-72.64649
01089,42.12545,-72.64973
01092,42.19187,-72.23511
01093,42.44380,-72.66151
01094,42.35911,-72.13680
01095,42.13853,-72.42070
01096,42.39714,-72.76355
01097,42.17804,-72.83261
01098,42.39431,-72.94312
01103,42.10411,-72.59203
01104,42.13401,-72.56538
01105,42.09996,-72.58076
01106,42.04805,-72.56928
01107,42.12106,-72.60707
01108,42.08069,-72.56079
01109,42.11967,-72.54973
01118,42.09459,-72.52522
01119,42.12498,-72.51121
01128,42.09230,-72.48914
01129,42.11867,-72.48820
01151,42.15186,-72.50913
01199,42.12056,-72.60447
01201,42.44824,-73.27373
01220,42.62381,-73.11674
01222,42.05870,-73.32218
01223,42.31222,-73.11012
01224,42.51316,-73.19574
01225,42.56340,-73.15333
01226,42.48112,-73.13507
01229,42.27793,-73.33203
01230,42.17320,-73.32429
01235,42.42568,-73.06303
01236,42.26650,-73.37839
01237,42.54980,-73.26114
01238,42.29750,-73.23015
01240,42.36786,-73.26976
01242,42.33373,-73.24920
01243,42.35012,-73.02411
01244,42.11809,-73.25750
01245,42.18689,-73.22311
01247,42.69853,-73.08430
01253,42.20668,-73.11321
01254,42.38202,-73.36549
01255,42.10750,-73.11861
01256,42.59417,-73.02232
01257,42.08524,-73.36748
01258,42.10928,-73.46289
01259,42.06926,-73.22895
01260,42.29570,-73.34254
01262,42.29220,-73.31921
01264,42.23159,-73.20243
01266,42.31235,-73.38804
01267,42.67162,-73.24698
01270,42.51527,-73.03117
01301,42.62676,-72.60153
01330,42.51395,-72.82152
01331,42.56239,-72.19104
01337,42.68931,-72.58229
01338,42.57249,-72.82415
01339,42.60378,-72.88964
01340,42.69473,-72.71096
01341,42.49212,-72.70983
01342,42.54389,-72.60946
01343,42.65763,-72.97893
01344,42.61342,-72.42643
01346,42.69327,-72.82312
01347,42.55929,-72.51875
01349,42.56306,-72.48211
01350,42.72777,-72.98535
01351,42.53988,-72.52169
01354,42.62410,-72.50861
01355,42.45855,-72.32719
01360,42.67709,-72.45388
01364,42.60544,-72.29207
01366,42.47562,-72.19247
01367,42.69553,-72.90915
01368,42.67946,-72.17694
01370,42.59338,-72.72693
01373,42.47548,-72.61540
01375,42.46669,-72.54675
01376,42.59528,-72.55500
01378,42.67353,-72.35321
01379,42.55631,-72.40715
01420,42.58492,-71.81686
01430,42.65874,-71.93292
01431,42.67629,-71.83252
01432,42.56466,-71.56730
01434,42.53975,-71.61233
01436,42.60206,-72.08701
01438,42.56206,-72.03169
01440,42.58834,-71.98607
01450,42.61164,-71.56474
01451,42.50191,-71.56820
01452,42.49511,-72.00234
01453,42.51997,-71.76332
01460,42.53593,-71.49057
01462,42.58261,-71.72046
01463,42.67064,-71.60286
01464,42.57365,-71.64099
01467,42.48949,-71.60935
01468,42.54277,-72.06834
01469,42.66479,-71.69505
01473,42.55460,-71.90544
01474,42.66969,-71.75275
01475,42.66816,-72.05564
01501,42.19887,-71.84572
01503,42.38493,-71.63389
01504,42.03999,-71.53241
01505,42.35505,-71.71616
01506,42.18081,-72.10789
01507,42.13394,-71.96802
01510,42.41189,-71.69000
01515,42.20968,-72.04018
01516,42.05307,-71.75224
01518,42.12748,-72.11882
01519,42.20340,-71.67974
01520,42.33638,-71.85076
01521,42.04678,-72.18021
01522,42.37563,-71.86738
01523,42.48357,-71.67558
01524,42.24536,-71.91496
01525,42.10679,-71.63052
01527,42.19225,-71.77765
01529,42.03664,-71.57878
01531,42.32618,-72.13343
01532,42.32334,-71.64624
01534,42.14207,-71.64335
01535,42.26756,-72.06688
01536,42.23131,-71.69264
01537,42.15897,-71.89705
01540,42.11626,-71.85747
01541,42.45412,-71.87754
01542,42.20425,-71.90891
01543,42.38829,-71.96986
01545,42.28477,-71.71423
01550,42.05974,-72.03391
01560,42.17540,-71.67422
01561,42.44397,-71.68558
01562,42.24721,-71.99187
01564,42.44792,-71.77604
01566,42.10321,-72.07954
01568,42.17653,-71.60359
01569,42.05592,-71.63113
01570,42.04707,-71.84580
01571,42.05378,-71.93507
01581,42.26843,-71.61331
01583,42.36942,-71.78504
01585,42.24080,-72.16264
01588,42.11880,-71.67250
01590,42.13205,-71.75032
01602,42.26919,-71.85073
01603,42.24383,-71.84357
01604,42.25348,-71.76793
01605,42.28968,-71.78779
01606,42.31525,-71.79574
01607,42.22597,-71.78889
01608,42.26198,-71.80146
01609,42.28511,-71.82999
01610,42.24705,-71.80837
01611,42.23760,-71.87584
01612,42.29680,-71.92899
01701,42.31959,-71.44280
01702,42.28238,-71.43662
01718,42.51982,-71.42929
01719,42.48598,-71.52098
01720,42.48395,-71.43850
01721,42.25776,-71.47353
01730,42.49933,-71.28190
01731,42.45675,-71.27948
01740,42.43993,-71.60188
01741,42.53681,-71.36132
01742,42.46291,-71.36450
01745,42.29211,-71.49920
01746,42.19595,-71.45343
01747,42.12301,-71.53140
01748,42.22410,-71.54049
01749,42.38907,-71.54586
01752,42.34962,-71.54721
01754,42.42596,-71.45626
01756,42.09387,-71.54452
01757,42.15869,-71.52142
01760,42.28482,-71.34881
01770,42.23195,-71.37296
01772,42.30288,-71.53083
01773,42.42551,-71.31081
01775,42.42969,-71.51251
01776,42.38337,-71.42107
01778,42.35627,-71.36194
01801,42.48870,-71.15438
01803,42.50323,-71.20171
01810,42.64804,-71.16175
01821,42.54933,-71.25172
01824,42.59079,-71.35518
01826,42.67972,-71.30068
01827,42.67615,-71.49977
01830,42.79631,-71.05344
01832,42.79111,-71.13286
01833,42.72623,-70.98332
01834,42.75390,-71.01593
01835,42.75133,-71.09442
01840,42.70676,-71.16040
01841,42.71202,-71.16487
01843,42.68999,-71.16039
01844,42.74264,-71.17865
01845,42.67391,-71.09133
01850,42.65604,-71.30331
01851,42.62781,-71.33533
01852,42.63298,-71.29562
01854,42.64948,-71.34823
01860,42.83860,-71.01200
01862,42.57854,-71.29559
01863,42.63118,-71.38816
01864,42.57840,-71.08445
01867,42.53518,-71.10542
01876,42.61180,-71.22757
01879,42.66776,-71.42882
01880,42.50152,-71.06749
01886,42.58554,-71.44025
01887,42.56465,-71.16452
01890,42.45275,-71.14432
01901,42.46042,-70.94638
01902,42.47104,-70.94154
01904,42.49246,-70.97393
01905,42.46600,-70.97579
01906,42.46843,-71.01395
01907,42.47415,-70.90660
01908,42.42823,-70.92607
01913,42.85128,-70.95579
01915,42.57044,-70.86769
01921,42.68311,-71.02719
01922,42.75731,-70.91424
01923,42.57417,-70.95052
01929,42.64045,-70.77116
01930,42.62325,-70.68280
01937,42.58572,-70.98405
01938,42.68386,-70.84267
01940,42.53415,-71.03833
01944,42.57664,-70.76715
01945,42.50156,-70.85883
01949,42.61051,-71.00712
01950,42.81236,-70.89110
01951,42.77335,-70.85021
01952,42.84479,-70.84150
01960,42.53431,-70.96944
01966,42.64070,-70.62025
01969,42.72087,-70.89122
01970,42.52762,-70.86987
01982,42.62622,-70.85723
01983,42.64139,-70.94338
01984,42.60067,-70.88326
01985,42.79957,-70.96443
02019,42.07668,-71.47449
02021,42.17574,-71.12538
02025,42.23644,-70.81431
02026,42.24687,-71.17946
02030,42.23416,-71.29117
02032,42.15688,-71.21619
02035,42.06134,-71.24580
02038,42.08486,-71.41057
02043,42.21610,-70.88127
02045,42.29797,-70.92914
02047,42.13414,-70.68631
02048,42.01730,-71.21642
02050,42.11514,-70.71033
02052,42.18460,-71.30531
02053,42.15620,-71.43035
02054,42.17310,-71.36376
02056,42.11366,-71.33756
02061,42.16457,-70.81884
02062,42.18736,-71.19597
02066,42.20227,-70.75818
02067,42.10760,-71.18183
02071,42.10343,-71.27359
02072,42.11901,-71.10365
02081,42.14704,-71.26996
02090,42.21964,-71.21677
02093,42.05267,-71.35686
02108,42.35776,-71.06490
02109,42.36699,-71.05055
02110,42.36209,-71.04994
02111,42.35052,-71.05908
02113,42.36533,-71.05523
02114,42.36317,-71.06865
02115,42.33711,-71.10570
02116,42.35058,-71.07640
02118,42.33758,-71.07048
02119,42.32403,-71.08502
02120,42.33209,-71.09655
02121,42.30627,-71.08590
02122,42.29141,-71.04216
02124,42.28581,-71.07057
02125,42.31568,-71.05555
02126,42.27423,-71.09742
02127,42.33499,-71.03909
02128,42.36152,-71.00739
02129,42.37966,-71.06149
02130,42.30917,-71.11383
02131,42.28433,-71.12623
02132,42.28046,-71.16202
02134,42.35802,-71.12861
02135,42.34969,-71.15396
02136,42.25508,-71.12922
02138,42.37964,-71.13515
02139,42.36299,-71.10335
02140,42.39216,-71.13400
02141,42.37030,-71.08256
02142,42.36199,-71.08159
02143,42.38141,-71.09671
02144,42.39966,-71.12255
02145,42.39158,-71.08991
02148,42.42938,-71.05871
02149,42.40594,-71.05465
02150,42.39682,-71.03135
02151,42.41829,-71.00125
02152,42.37306,-70.97481
02155,42.42384,-71.10767
02163,42.36592,-71.12218
02169,42.24839,-71.00228
02170,42.26642,-71.01558
02171,42.29333,-71.01819
02176,42.45572,-71.05902
02180,42.47421,-71.09767
02184,42.20619,-71.00232
02186,42.24156,-71.08244
02188,42.20466,-70.95763
02189,42.20978,-70.92818
02190,42.16673,-70.95236
02191,42.24345,-70.94203
02199,42.34748,-71.08204
02203,42.36059,-71.05874
02210,42.34747,-71.03927
02215,42.34763,-71.10308
02301,42.07837,-71.04230
02302,42.08891,-70.99837
02322,42.13246,-71.05401
02324,41.97238,-70.97877
02330,41.87518,-70.74671
02332,42.04441,-70.70606
02333,42.03712,-70.94218
02338,42.00263,-70.86371
02339,42.12296,-70.85631
02341,42.05024,-70.86736
02343,42.14035,-70.99786
02346,41.87800,-70.86927
02347,41.83438,-70.95683
02351,42.11576,-70.95660
02356,42.06054,-71.11967
02357,42.05498,-71.08065
02359,42.06780,-70.80571
02360,41.88206,-70.63129
02364,41.98720,-70.74194
02366,41.85098,-70.65498
02367,41.95910,-70.80275
02368,42.17609,-71.05204
02370,42.13040,-70.91062
02375,42.00569,-71.07804
02379,42.02162,-71.02672
02382,42.07897,-70.93939
02420,42.45705,-71.21546
02421,42.43855,-71.23957
02445,42.32548,-71.13505
02446,42.34350,-71.12224
02451,42.39782,-71.25570
02452,42.39358,-71.21392
02453,42.36954,-71.24051
02457,42.29939,-71.27424
02458,42.35359,-71.18819
02459,42.31478,-71.19202
02460,42.35182,-71.20849
02461,42.31736,-71.20651
02462,42.32871,-71.25590
02464,42.31298,-71.21888
02465,42.34891,-71.22633
02466,42.34446,-71.24862
02467,42.31432,-71.15278
02468,42.32855,-71.22953
02472,42.36945,-71.17793
02474,42.42095,-71.15637
02476,42.41564,-71.17567
02478,42.39532,-71.18028
02481,42.31195,-71.27552
02482,42.29310,-71.29854
02492,42.27648,-71.24371
02493,42.36050,-71.30343
02494,42.29949,-71.23252
02532,41.75176,-70.59755
02534,41.66894,-70.61941
02535,41.33796,-70.76167
02536,41.59629,-70.56747
02537,41.72842,-70.43581
02538,41.77738,-70.64245
02539,41.37765,-70.52208
02540,41.57389,-70.63204
02542,41.70784,-70.54552
02543,41.47897,-70.76691
02553,41.71253,-70.62075
02554,41.28988,-70.09408
02556,41.63945,-70.62452
02557,41.44171,-70.57614
02558,41.74502,-70.65351
02559,41.69024,-70.61628
02561,41.76674,-70.54059
02562,41.78721,-70.52672
02563,41.72814,-70.47655
02564,41.27190,-69.98454
02568,41.45864,-70.61252
02571,41.76119,-70.69599
02575,41.40025,-70.65693
02576,41.77222,-70.76295
02584,41.25885,-70.00733
02601,41.65604,-70.29676
02630,41.70676,-70.31249
02631,41.74751,-70.06622
02632,41.65910,-70.34688
02633,41.68934,-69.97238
02635,41.62405,-70.43940
02637,41.70573,-70.27093
02638,41.73024,-70.19739
02639,41.66807,-70.13698
02641,41.75395,-70.15539
02642,41.84160,-69.97497
02643,41.79794,-69.93733
02644,41.68349,-70.51079
02645,41.71108,-70.05761
02646,41.67060,-70.07145
02647,41.63013,-70.31014
02648,41.67037,-70.41204
02649,41.61680,-70.49010
02650,41.70195,-69.96145
02651,41.87505,-70.00344
02652,42.04953,-70.09499
02653,41.76913,-69.97358
02655,41.62798,-70.39201
02657,42.05983,-70.20041
02659,41.68147,-70.02353
02660,41.70770,-70.15856
02663,41.89444,-70.01218
02664,41.67473,-70.19565
02666,41.99078,-70.04571
02667,41.92200,-70.02336
02668,41.71621,-70.36310
02669,41.66668,-69.98969
02670,41.66010,-70.17068
02671,41.67515,-70.10977
02672,41.63570,-70.31363
02673,41.65564,-70.24724
02675,41.70395,-70.23155
02702,41.78511,-71.05905
02703,41.93165,-71.29450
02713,41.44631,-70.90745
02715,41.80559,-71.15771
02717,41.76011,-70.97276
02718,41.86249,-71.01169
02719,41.63367,-70.87136
02720,41.72302,-71.12153
02721,41.67513,-71.14828
02723,41.69270,-71.12973
02724,41.68394,-71.17750
02725,41.72004,-71.18827
02726,41.75970,-71.14459
02738,41.70684,-70.75096
02739,41.66579,-70.81453
02740,41.63748,-70.93827
02743,41.71822,-70.90115
02744,41.60625,-70.91363
02745,41.70074,-70.95055
02746,41.66099,-70.94014
02747,41.66471,-71.01570
02748,41.55308,-70.97145
02760,41.97257,-71.33437
02762,42.01284,-71.33619
02763,41.96687,-71.30857
02764,41.85193,-71.15360
02766,41.96534,-71.18178
02767,41.94100,-71.04850
02769,41.84688,-71.24487
02770,41.76086,-70.83896
02771,41.83980,-71.31805
02777,41.75816,-71.21418
02779,41.83806,-71.07761
02780,41.90911,-71.11835
02790,41.59918,-71.08237
02791,41.52782,-71.07962
02802,41.95213,-71.45623
02804,41.43303,-71.77006
02806,41.73819,-71.32018
02807,41.17678,-71.57705
02808,41.40825,-71.74967
02809,41.67573,-71.27333
02812,41.47896,-71.65257
02813,41.39422,-71.66982
02814,41.89612,-71.69540
02815,41.77463,-71.64795
02816,41.69650,-71.62266
02817,41.63708,-71.67836
02818,41.64292,-71.48572
02822,41.56943,-71.62792
02825,41.78207,-71.72683
02826,41.98275,-71.65314
02827,41.69875,-71.73912
02828,41.87769,-71.56091
02830,41.97562,-71.65639
02831,41.76984,-71.60737
02832,41.51472,-71.72962
02833,41.48969,-71.77197
02835,41.51009,-71.37837
02836,41.45404,-71.62023
02837,41.51877,-71.16725
02838,41.96541,-71.47936
02839,41.94076,-71.64151
02840,41.47697,-71.31855
02841,41.51024,-71.32964
02842,41.51764,-71.27793
02852,41.58857,-71.45981
02857,41.82276,-71.63361
02858,41.96449,-71.65127
02859,41.95907,-71.75732
02860,41.87056,-71.38868
02861,41.87860,-71.35313
02863,41.89006,-71.39348
02864,41.96746,-71.42057
02865,41.91546,-71.44982
